frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,error_ángulo,error_tiempo,error_velocidad_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_aceleracion_angular,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad,error_aceleracion,energia_cinetica,altura_cm,energia_potencial,energia_mecanica,variacion_energia_mecanica,trabajo_calorico
10,297,294,259,381,122.03687967167956,0.1667619047619047,3,122,0.0224983377673981,0.077631568830086,,0.0947391442404091,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347652340713186,0.0347652340713186,0.02,0.3478933006197505,0.7734181700695871,-0.618155032409415,0.86974779516495,,,0.0572635718387167,-0.0122668963039204,0.424575872212684,1.0646327621928615,0.0024106641916081524,0.008998575919462208,1.324140446548864,1.3265511107404722,0.07630522128505302,0.07630522128505302
11,298,294,259,381,122.06555615733704,0.1834380952380952,4,122,0.0238008856029212,0.0781082368531833,,0.0953432537195284,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347570667818095,0.0347570667818095,0.02,0.3478146520977794,0.7737375410487422,-0.6175210673423754,0.869537446815488,,,0.0585579523847307,-0.0109561811788882,0.4245798514300588,1.0646506085019751,0.0024403586657251934,0.00951945541482873,1.4007878642920477,1.4032282229577728,0.07667711221730067,0.07667711221730067
12,298,294,259,381,122.06555615733704,0.2001142857142857,4,122,0.0250867912349525,0.077110274907642,,0.0941250859204648,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347570667818095,0.0347570667818095,0.02,0.3478084594384756,0.7727271937845933,-0.6185066439693091,0.8695247278866285,,,0.059843858016762,-0.009670275546857,0.4245718365920187,1.064582604594856,0.0023783977985328496,0.010033663973823359,1.4764536537481072,1.47883205154664,0.07560382858886716,0.07560382858886716
13,298,293,260,381,121.10326172320876,0.2167904761904762,5,121,0.0263330110924761,0.0747304883152399,,0.0905010588514369,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350332487065144,0.0350332487065144,0.02,0.3505540727000306,0.775838633715301,-0.6263776570848213,0.8764053759205972,,,0.0613662597989906,-0.0087002376140382,0.4245488593450292,1.0644254423733384,0.0022338583535336833,0.010531987143640205,1.5497819081866562,1.55201576654019,0.07318371499354992,0.07318371499354992
14,298,293,260,382,122.10241602851272,0.2334666666666666,5,122,0.0275189262764633,0.0711142743110551,,0.0868322470749423,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347465744341091,0.0347465744341091,0.02,0.3476680643557447,0.7664504030225446,-0.6242218544004342,0.8692171764603565,,,0.0622655007105725,-0.0072276481576458,0.4245259974421816,1.0642263874927933,0.0020228960043151972,0.011006181240287257,1.61955956950827,1.6215824655125852,0.06956669897239531,0.06956669897239531
15,298,293,260,382,122.10241602851272,0.2501428571428571,5,122,0.0286263959015264,0.0664102288016123,,0.0810884938568319,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347465744341091,0.0347465744341091,0.02,0.3476421901719537,0.7616946091455199,-0.6288741515422951,0.8691850365130395,,,0.0633729703356356,-0.0061201785325827,0.4244925005660598,1.063967905898628,0.0017641273957929992,0.01144899452547619,1.6847195444238212,1.6864836718196141,0.06490120630702889,0.06490120630702889
16,299,293,260,382,122.14745187681976,0.2668190476190476,6,122,0.0296407338032922,0.0608255166678514,,0.0742968187006908,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347337633485616,0.0347337633485616,0.02,0.3474857116102539,0.7557969398883593,-0.6341459065526565,0.868826467076789,,,0.0643744971518539,-0.0050930295452694,0.4244558380567234,1.0636805706986685,0.0014798973911644279,0.0118545574941536,1.7443981352647022,1.7458780326558667,0.0593943608362526,0.0593943608362526
17,299,293,261,382,121.1486689980538,0.2834952380952381,6,121,0.0305508041840938,0.0545730382548043,,0.0661145094774941,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350201180269462,0.0350201180269462,0.02,0.3503194106410971,0.7552118595369985,-0.6460657830273899,0.8759380077887619,,,0.06557092221104,-0.0044693138428524,0.4244160748360105,1.0633739311377708,0.0011912866017441336,0.012218420786144489,1.7979406186811615,1.7991319052829056,0.053253872627038845,0.053253872627038845
18,299,293,261,383,122.14745187681976,0.3001714285714286,6,122,0.0313489722161302,0.0478627317897323,,0.0584631072797946,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347337633485616,0.0347337633485616,0.02,0.3474293292975209,0.7427213903847742,-0.6469959268053094,0.868735313073624,,,0.0660827355646919,-0.0033847911324314,0.4243828204299448,1.0630918278750563,0.0009163364377503406,0.012537535090368111,1.8448982885476677,1.845814624985418,0.046682719702512365,0.046682719702512365
19,299,293,261,383,122.14745187681976,0.316847619047619,6,122,0.0320318587884297,0.0409497944554271,,0.0500191304760994,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347337633485616,0.0347337633485616,0.02,0.347404756793069,0.7357593080415651,-0.6538597191307108,0.8686838239005585,,,0.0667656221369914,-0.0027019045601319,0.4243509977100353,1.0628209212011954,0.0006707542663766915,0.012810552563263878,1.8850728096842797,1.8857435639506563,0.039928938965238414,0.039928938965238414
20,299,293,261,383,122.14745187681976,0.3335238095238095,6,122,0.032599435918354,0.034035179121672,,0.0415731040388337,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347337633485616,0.0347337633485616,0.02,0.3473840036835749,0.728803186488822,-0.6607328282454779,0.868632034870217,,,0.0673331992669157,-0.0021343274302076,0.4243241212072062,1.0625820020480294,0.0004633573671377191,0.013037464878223676,1.918462956830614,1.9189263141977517,0.03318275024709538,0.03318275024709538
21,299,293,261,383,122.14745187681976,0.3502,6,122,0.0330552128878902,0.0273310004576276,,0.033384120631434,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347337633485616,0.0347337633485616,0.02,0.3473675357600141,0.7220660719776558,-0.6674040710624006,0.8685805622952604,,,0.0677889762364519,-0.0016785504606714,0.4243027942044952,1.0623797593324398,0.0002987934344059361,0.01321967744120087,1.945275535472708,1.945574328907114,0.026648014709362178,0.026648014709362178
22,299,293,260,383,123.14625451064276,0.3668761904761904,6,123,0.0334056412899426,0.0210136962966904,,0.0258775799236158,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344520481274777,0.0344520481274777,0.02,0.3445383026955067,0.7100903016877038,-0.6680629090943231,0.8614905337413842,,,0.0678576894174204,-0.001046406837535,0.4242873160588613,1.0622206055235237,0.00017663017281981596,0.013359771415523108,1.9658903637942255,1.9660669939670454,0.020492665059931525,0.020492665059931525
23,296,293,260,382,122.03687967167956,0.383552380952381,3,122,0.0336599151079805,0.015247716101644,,0.0186078369516426,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347652340713186,0.0347652340713186,0.02,0.3476616394151233,0.7105709949318907,-0.6800755627286027,0.8692736265426616,,,0.0684251491792992,-0.001105318963338,0.4242761015273661,1.0620908852276194,9.299713852653351e-05,0.013461423764325292,1.9808485069204669,1.9809415040589935,0.014874510091948068,0.014874510091948068
24,296,293,260,382,122.03687967167956,0.4002285714285714,3,122,0.0338294196630033,0.0101644650356287,,0.0124043959648002,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347652340713186,0.0347652340713186,0.02,0.3476564729481887,0.7054774109320061,-0.6851484808607486,0.8692340832026162,,,0.0685946537343219,-0.0009358144083153,0.4242694159575728,1.0619988936922824,4.132653978420735e-05,0.013529186986861544,1.9908198651166764,1.9908611916564607,0.009919687597467197,0.009919687597467197
25,296,293,259,382,123.03657992645928,0.4169047619047619,3,123,0.0339272367435988,0.0058656730225777,,0.0072169234766485,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448289735903876,0.695523620203353,-0.6837922741581977,0.862139419700244,,,0.0684099953642885,-0.0005555218770907,0.4242658770707097,1.061936281298257,1.3762448003118327e-05,0.013568291367494502,1.996574074726816,1.9965878371748191,0.005726645518358442,0.005726645518358442
26,296,293,259,382,123.03657992645928,0.4335809523809524,3,123,0.033967357824599,0.0024058900656877,,0.0029601248536126,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448278196134829,0.6920615292926535,-0.6872497491612781,0.8621129395179956,,,0.0684501164452887,-0.0005154007960905,0.4242643729413609,1.0618940355119766,2.3153228032699065e-06,0.01358433055352238,1.9989342409508182,1.9989365562736214,0.002348719098802299,0.002348719098802299
27,297,292,259,382,123.10158406779338,0.4502571428571428,5,123,0.0339643945784143,-0.0001776932320926,,-0.0002187431834872,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344645499019965,0.0344645499019965,0.02,0.3446455002938579,0.6891133073556233,-0.6894686938198085,0.8616379597003757,,,0.0684289444804108,-0.0005001553235821,0.424264070373139,1.0618678122639584,1.2629953892605847e-08,0.01358314593871078,1.9987599248812915,1.9987599375112455,-0.00017661876237595742,-0.00017661876237595742
28,297,292,259,382,123.10158406779338,0.4669333333333333,5,123,0.0339330198724502,-0.0018814072679786,,-0.0023160421496482,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344645499019965,0.0344645499019965,0.02,0.3446456418293118,0.687409876390645,-0.6911726909266022,0.8616246321392453,,,0.0683975697744467,-0.0005315300295462,0.4242642549414133,1.0618526133829729,1.41587732320108e-06,0.013570603287593208,1.9969142737693406,1.9969156896466638,-0.001844247864581705,-0.001844247864581705
