frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad_angular,error_aceleracion_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_ángulo,error_tiempo,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,error_aceleración,error_velocidad,error_aceleracion
10,297,294,259,381,122.03687967167956,0.1667619047619047,3,122,0.022498337767398173,0.07763156883008603,,0.09473914424040918,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03476523407131862,0.05726357183871679,-0.012266896303920444,0.34789330061975055,0.86974779516495,0.7734181700695871,-0.618155032409415,0.03476523407131862,0.02,,,17.394955903299,0.424575872212684,1.0646327621928617
11,298,294,259,381,122.06555615733704,0.1834380952380952,4,122,0.023800885602921262,0.07810823685318338,,0.0953432537195284,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03475706678180953,0.05855795238473079,-0.010956181178888268,0.3478146520977794,0.869537446815488,0.7737375410487422,-0.6175210673423754,0.03475706678180953,0.02,,,17.39074893630976,0.42457985143005883,1.0646506085019753
12,298,294,259,381,122.06555615733704,0.2001142857142857,4,122,0.025086791234952513,0.07711027490764207,,0.09412508592046481,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03475706678180953,0.05984385801676204,-0.009670275546857017,0.3478084594384756,0.8695247278866285,0.7727271937845933,-0.6185066439693091,0.03475706678180953,0.02,,,17.39049455773257,0.4245718365920187,1.0645826045948559
13,298,293,260,381,121.10326172320876,0.2167904761904762,5,121,0.026333011092476183,0.0747304883152399,,0.09050105885143692,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035033248706514454,0.06136625979899064,-0.008700237614038271,0.3505540727000306,0.8764053759205972,0.775838633715301,-0.6263776570848213,0.035033248706514454,0.02,,,17.528107518411943,0.4245488593450292,1.0644254423733384
14,298,293,260,382,122.10241602851272,0.2334666666666666,5,122,0.027518926276463393,0.07111427431105519,,0.08683224707494236,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.06226550071057259,-0.007227648157645802,0.3476680643557447,0.8692171764603565,0.7664504030225446,-0.6242218544004342,0.034746574434109195,0.02,,,17.38434352920713,0.42452599744218167,1.0642263874927933
15,298,293,260,382,122.10241602851272,0.2501428571428571,5,122,0.028626395901526474,0.06641022880161238,,0.08108849385683192,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034746574434109195,0.06337297033563567,-0.006120178532582721,0.34764219017195375,0.8691850365130395,0.7616946091455199,-0.6288741515422951,0.034746574434109195,0.02,,,17.383700730260788,0.4244925005660598,1.063967905898628
16,299,293,260,382,122.14745187681976,0.2668190476190476,6,122,0.029640733803292265,0.06082551666785142,,0.0742968187006908,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03473376334856169,0.06437449715185395,-0.005093029545269422,0.34748571161025393,0.868826467076789,0.7557969398883593,-0.6341459065526565,0.03473376334856169,0.02,,,17.37652934153578,0.4244558380567234,1.0636805706986683
17,299,293,261,382,121.1486689980538,0.2834952380952381,6,121,0.03055080418409381,0.054573038254804335,,0.06611450947749417,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035020118026946226,0.06557092221104004,-0.004469313842852415,0.3503194106410971,0.8759380077887619,0.7552118595369985,-0.6460657830273899,0.035020118026946226,0.02,,,17.518760155775237,0.42441607483601057,1.0633739311377708
18,299,293,261,383,122.14745187681976,0.3001714285714286,6,122,0.03134897221613021,0.047862731789732396,,0.058463107279794695,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03473376334856169,0.0660827355646919,-0.0033847911324314806,0.3474293292975209,0.868735313073624,0.7427213903847742,-0.6469959268053094,0.03473376334856169,0.02,,,17.37470626147248,0.4243828204299448,1.0630918278750565
19,299,293,261,383,122.14745187681976,0.316847619047619,6,122,0.032031858788429755,0.040949794455427145,,0.05001913047609948,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03473376334856169,0.06676562213699144,-0.002701904560131932,0.347404756793069,0.8686838239005585,0.7357593080415651,-0.6538597191307108,0.03473376334856169,0.02,,,17.37367647801117,0.4243509977100353,1.0628209212011954
20,299,293,261,383,122.14745187681976,0.3335238095238095,6,122,0.03259943591835402,0.034035179121672046,,0.04157310403883377,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03473376334856169,0.06733319926691571,-0.0021343274302076665,0.34738400368357497,0.868632034870217,0.728803186488822,-0.6607328282454779,0.03473376334856169,0.02,,,17.37264069740434,0.4243241212072062,1.0625820020480294
21,299,293,261,383,122.14745187681976,0.3502,6,122,0.03305521288789027,0.0273310004576276,,0.03338412063143406,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03473376334856169,0.06778897623645196,-0.0016785504606714186,0.3473675357600141,0.8685805622952604,0.7220660719776558,-0.6674040710624006,0.03473376334856169,0.02,,,17.371611245905207,0.4243027942044952,1.0623797593324398
