frame,x_26,x_28,y_26,y_28,distance,distancia_promedio
0,296,296,257,381,124.0,127.69001986372378
1,295,295,257,381,124.0,127.69001986372378
2,295,295,258,381,123.0,127.69001986372378
3,295,295,258,381,123.0,127.69001986372378
4,295,295,259,381,122.0,127.69001986372378
5,295,294,259,381,122.00409829181969,127.69001986372378
6,295,294,259,381,122.00409829181969,127.69001986372378
7,295,294,259,381,122.00409829181969,127.69001986372378
8,296,294,259,381,122.01639234135715,127.69001986372378
9,296,294,259,381,122.01639234135715,127.69001986372378
10,296,294,259,381,122.01639234135715,127.69001986372378
11,297,293,259,381,122.06555615733703,127.69001986372378
12,297,293,259,381,122.06555615733703,127.69001986372378
13,297,293,259,381,122.06555615733703,127.69001986372378
14,297,293,259,381,122.06555615733703,127.69001986372378
15,298,293,260,381,121.10326172320876,127.69001986372378
16,298,293,260,381,121.10326172320876,127.69001986372378
17,298,293,260,382,122.10241602851272,127.69001986372378
18,298,293,260,382,122.10241602851272,127.69001986372378
19,298,293,260,382,122.10241602851272,127.69001986372378
20,298,293,260,382,122.10241602851272,127.69001986372378
21,297,292,260,382,122.10241602851272,127.69001986372378
22,296,292,259,382,123.06502346320826,127.69001986372378
23,296,292,259,382,123.06502346320826,127.69001986372378
24,295,292,259,382,123.03657992645927,127.69001986372378
25,295,292,259,382,123.03657992645927,127.69001986372378
26,296,292,259,382,123.06502346320826,127.69001986372378
27,296,292,259,382,123.06502346320826,127.69001986372378
28,296,292,259,382,123.06502346320826,127.69001986372378
29,296,292,259,382,123.06502346320826,127.69001986372378
30,296,292,259,383,124.06449935416659,127.69001986372378
31,296,292,260,383,123.06502346320826,127.69001986372378
32,295,292,260,383,123.03657992645927,127.69001986372378
33,295,292,261,384,123.03657992645927,127.69001986372378
34,295,292,261,384,123.03657992645927,127.69001986372378
35,296,292,261,384,123.06502346320826,127.69001986372378
36,296,292,262,384,122.06555615733703,127.69001986372378
37,296,292,262,385,123.06502346320826,127.69001986372378
38,297,292,262,385,123.10158406779338,127.69001986372378
39,297,292,262,385,123.10158406779338,127.69001986372378
40,297,292,262,385,123.10158406779338,127.69001986372378
41,297,292,263,385,122.10241602851272,127.69001986372378
42,297,292,263,385,122.10241602851272,127.69001986372378
43,297,293,263,386,123.06502346320826,127.69001986372378
44,297,293,263,386,123.06502346320826,127.69001986372378
45,297,293,263,386,123.06502346320826,127.69001986372378
46,297,293,263,386,123.06502346320826,127.69001986372378
47,297,293,264,386,122.06555615733703,127.69001986372378
48,297,293,264,386,122.06555615733703,127.69001986372378
49,297,293,264,386,122.06555615733703,127.69001986372378
50,297,293,264,386,122.06555615733703,127.69001986372378
51,297,293,264,386,122.06555615733703,127.69001986372378
52,298,293,264,386,122.10241602851272,127.69001986372378
53,298,293,264,386,122.10241602851272,127.69001986372378
54,298,293,264,386,122.10241602851272,127.69001986372378
55,298,292,264,387,123.14625451064275,127.69001986372378
56,298,292,264,387,123.14625451064275,127.69001986372378
57,298,292,264,387,123.14625451064275,127.69001986372378
58,298,292,264,387,123.14625451064275,127.69001986372378
59,298,292,264,387,123.14625451064275,127.69001986372378
60,298,292,264,387,123.14625451064275,127.69001986372378
61,298,292,264,387,123.14625451064275,127.69001986372378
62,298,292,264,387,123.14625451064275,127.69001986372378
63,298,292,264,387,123.14625451064275,127.69001986372378
64,298,292,264,387,123.14625451064275,127.69001986372378
65,298,292,264,387,123.14625451064275,127.69001986372378
66,298,292,264,387,123.14625451064275,127.69001986372378
67,298,292,264,387,123.14625451064275,127.69001986372378
68,298,292,264,387,123.14625451064275,127.69001986372378
69,298,291,264,387,123.1990259701756,127.69001986372378
70,298,291,264,387,123.1990259701756,127.69001986372378
71,298,291,264,387,123.1990259701756,127.69001986372378
72,298,291,264,387,123.1990259701756,127.69001986372378
73,298,291,264,387,123.1990259701756,127.69001986372378
74,297,291,264,387,123.14625451064275,127.69001986372378
75,297,291,264,387,123.14625451064275,127.69001986372378
76,297,291,264,387,123.14625451064275,127.69001986372378
77,297,291,264,387,123.14625451064275,127.69001986372378
78,297,291,264,387,123.14625451064275,127.69001986372378
79,297,291,264,387,123.14625451064275,127.69001986372378
80,297,291,264,387,123.14625451064275,127.69001986372378
81,297,291,264,387,123.14625451064275,127.69001986372378
82,297,290,264,387,123.1990259701756,127.69001986372378
83,297,290,264,387,123.1990259701756,127.69001986372378
84,297,290,264,387,123.1990259701756,127.69001986372378
85,297,290,264,387,123.1990259701756,127.69001986372378
86,296,290,264,387,123.14625451064275,127.69001986372378
87,296,290,264,387,123.14625451064275,127.69001986372378
88,296,290,264,387,123.14625451064275,127.69001986372378
89,295,290,264,387,123.10158406779338,127.69001986372378
90,295,290,264,387,123.10158406779338,127.69001986372378
91,294,290,264,387,123.06502346320826,127.69001986372378
92,294,290,264,387,123.06502346320826,127.69001986372378
93,294,290,264,387,123.06502346320826,127.69001986372378
94,294,290,264,387,123.06502346320826,127.69001986372378
95,294,289,264,387,123.10158406779338,127.69001986372378
96,294,289,264,387,123.10158406779338,127.69001986372378
97,294,289,264,387,123.10158406779338,127.69001986372378
98,294,289,264,387,123.10158406779338,127.69001986372378
99,293,289,264,387,123.06502346320826,127.69001986372378
100,293,289,264,388,124.06449935416659,127.69001986372378
101,292,289,264,388,124.03628501370073,127.69001986372378
102,292,289,264,388,124.03628501370073,127.69001986372378
103,292,289,264,388,124.03628501370073,127.69001986372378
104,292,289,264,388,124.03628501370073,127.69001986372378
105,293,289,264,388,124.06449935416659,127.69001986372378
106,293,290,263,388,125.03599481749245,127.69001986372378
