distancia_r,distancia_x,distancia_y,angulo
40.0,0.0,38.81799170841369,90.0
40.0,0.0,38.81799170841369,90.0
40.0,0.0,38.50494338818455,90.0
40.0,0.0,38.50494338818455,90.0
40.0,0.0,38.19189506795541,90.0
40.0,-0.3130483202291427,38.19189506795541,90.46962701968965
40.0,-0.3130483202291427,38.19189506795541,90.46962701968965
40.0,-0.3130483202291427,38.19189506795541,90.46962701968965
40.0,-0.6260966404582854,38.19189506795541,90.93919094573559
40.0,-0.6260966404582854,38.19189506795541,90.93919094573559
40.0,-0.6260966404582854,38.19189506795541,90.93919094573559
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,37.878846747726264,92.3662479914558
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.878289921374856,38.19189506795541,92.81555668421123
40.0,-1.878289921374856,38.19189506795541,92.81555668421123
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-0.939144960687428,38.50494338818455,91.39718102729638
40.0,-0.939144960687428,38.50494338818455,91.39718102729638
40.0,-0.939144960687428,38.50494338818455,91.39718102729638
40.0,-0.939144960687428,38.50494338818455,91.39718102729638
40.0,-0.939144960687428,38.50494338818455,91.39718102729638
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.5652416011457135,38.50494338818455,92.32781508904117
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.50494338818455,91.86262094930669
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.2521932809165708,38.19189506795541,91.87787744728536
40.0,-1.5652416011457135,38.19189506795541,92.3468742924873
40.0,-1.878289921374856,38.19189506795541,92.81555668421123
40.0,-1.878289921374856,38.19189506795541,92.81555668421123
40.0,-1.878289921374856,38.19189506795541,92.81555668421123
40.0,-1.878289921374856,38.50494338818455,92.79270236571328
40.0,-1.878289921374856,38.50494338818455,92.79270236571328
40.0,-1.878289921374856,38.50494338818455,92.79270236571328
40.0,-1.878289921374856,38.50494338818455,92.79270236571328
